# SEGGER J-Link RTT Viewer V6.16a Terminal Log File
# Compiled: 12:44:10 on Jun  6 2017
# Logging started @ 04 Dec 2018 15:16:18
 0> <info> app: Unplug USE Detect
 0> <info> app: Right Press
 0> <info> app: Right Press
 0> <info> app: Right Press
 0> <info> app: Right Press
 0> <info> app: BATT Reading...
 0> <info> app: [OK]	Max30102 Already and background working is begin
 0> 
 0> <info> app: BATT Reading...
 0> <info> app: [OK]	HR sample count 707
 0> <info> app: Peak Index,
 0> ,118,220,326,417,519,616
 0> ,END Peak Index,<info> app: HR Index,
 0> ,69,66,77,69,72<info> app: HR Mean 70 
 0> <info> app: HR SD 3.72 
 0> <info> app: ^_^ Final HR 70 
 0> <info> app: Peak Index,
 0> ,67,89,137,161,179,185,205,287,296,348,355,360,365,378,384,388,395,404,443,470,495,518,572,590,650
 0> ,END Peak Index,<info> app: HR Index,
 0> ,65,147,137,98,86,136,136,136,51,131,137,118<info> app: HR Mean 114 
 0> <info> app: HR SD 30.69 
 0> 
 0> SPO2,54,115115,138742,3.00,0
 0> SPO2,55,115108,138738,0.00,0
 0> SPO2,56,115109,138743,4.00,0
 0> SPO2,57,115121,138749,10.00,1
 0> SPO2,58,115116,138746,6.00,0
 0> SPO2,59,115120,138739,0.00,0
 0> SPO2,60,115106,138745,5.00,0
 0> SPO2,61,115102,138749,9.00,0
 0> SPO2,62,115125,138732,-8.00,-1
 0> SPO2,63,115108,138742,2.00,0
 0> SPO2,64,115115,138756,16.00,1
 0> SPO2,65,115101,138748,7.00,0
 0> SPO2,66,115118,138749,7.00,0
 0> SPO2,67,115110,138750,8.00,0
 0> SPO2,68,115113,138745,3.00,0
 0> SPO2,69,115110,138744,1.00,0
 0> SPO2,70,115107,138739,-3.00,-1
 0> SPO2,71,115113,138734,-8.00,-1
 0> SPO2,72,115108,138738,-3.00,0
 0> SPO2,73,115106,138756,14.00,1
 0> SPO2,74,115102,138750,7.00,1
 0> SPO2,75,115107,138740,-2.00,0
 0> SPO2,76,115106,138749,6.00,0
 0> SPO2,77,115121,138746,3.00,0
 0> SPO2,78,115114,138746,3.00,0
 0> SPO2,79,115115,138747,3.00,0
 0> SPO2,80,115105,138734,-9.00,-1
 0> SPO2,81,115100,138741,-1.00,0
 0> SPO2,82,115097,138759,16.00,1
 0> SPO2,83,115106,138760,16.00,1
 0> SPO2,84,115119,138740,-4.00,0
 0> SPO2,85,115117,138750,5.00,0
 0> SPO2,86,115103,138745,0.00,0
 0> SPO2,87,115105,138767,22.00,1
 0> SPO2,88,115111,138750,4.00,0
 0> SPO2,89,115111,138760,14.00,0
 0> SPO2,90,115112,138769,22.00,1
 0> SPO2,91,115111,138762,14.00,0
 0> SPO2,92,115117,138760,11.00,0
 0> SPO2,93,115117,138785,36.00,1
 0> SPO2,94,115118,138774,23.00,0
 0> SPO2,95,115120,138763,11.00,0
 0> SPO2,96,115108,138784,31.00,1
 0> SPO2,97,115125,138770,15.00,0
 0> SPO2,98,115113,138785,30.00,1
 0> SPO2,99,115119,138776,19.00,0
 0> SPO2,100,115116,138762,4.00,-1
 0> SPO2,101,115116,138779,21.00,0
 0> SPO2,102,115119,138769,10.00,-1
 0> SPO2,103,115120,138772,12.00,0
 0> SPO2,104,115113,138765,5.00,-1
 0> SPO2,105,115125,138755,-5.00,-1
 0> SPO2,106,115124,138765,5.00,0
 0> SPO2,107,115118,138766,5.00,0
 0> SPO2,108,115113,138745,-15.00,-1
 0> SPO2,109,115102,138753,-6.00,-1
 0> SPO2,110,115113,138751,-8.00,-1
 0> SPO2,111,115113,138760,1.00,0
 0> SPO2,112,115105,138753,-5.00,-1
 0> SPO2,113,115118,138746,-12.00,-1
 0> SPO2,114,115114,138752,-5.00,-1
 0> SPO2,115,115106,138752,-5.00,-1
 0> SPO2,116,115109,138748,-9.00,-1
 0> SPO2,117,115107,138752,-4.00,-1
 0> SPO2,118,115118,138748,-8.00,-1
 0> SPO2,119,115107,138753,-3.00,-1
 0> SPO2,120,115123,138759,2.00,0
 0> SPO2,121,115104,138750,-6.00,-1
 0> SPO2,122,115119,138749,-6.00,-1
 0> SPO2,123,115112,138737,-18.00,-1
 0> SPO2,124,115121,138747,-7.00,-1
 0> SPO2,125,115116,138736,-18.00,-1
 0> SPO2,126,115113,138751,-2.00,0
