-16736	2014	8759
-16845	2739	7228
-8470	849	4903
-19729	1658	5431
-24844	-1348	5910
-5950	-791	3119
-17527	2155	3057
-15352	547	4389
-15043	2245	1549
-16088	89	4304
-15854	1729	3985
-15075	3388	4902
-15852	3238	3435
-17178	1822	5940
-15035	1221	2875
-12965	1012	3613
-16059	1505	4337
-15042	1461	4433
-14713	1480	4044
-14755	1329	4082
-15026	1361	4213
-15088	1201	4297
-14649	1303	4242
-14989	1270	4387
-14771	1242	4299
-15168	1504	4586
-14931	1265	4191
-14901	1342	4421
-15043	1201	4353
-14967	1375	4395
-14908	1289	4422
-14842	1229	4163
-15029	1505	4568
-15195	1209	4295
-14722	1180	4259
-15093	1251	4260
-15159	1227	4209
-15076	1107	4106
-14894	1078	4283
-14810	1205	4116
-15225	1192	3904
-15112	1090	4094
-15022	1211	3896
-15130	1027	4041
-14866	1235	3830
-14832	1010	4017
-15554	1116	4098
-15167	891	3954
-15143	842	4228
-14882	846	4037
-15180	915	4115
-15177	897	4130
-15208	872	4174
-14945	891	4036
-15064	957	4132
-15171	812	4127
-15202	723	4115
-15191	575	4177
-15183	2032	4365
-14479	1537	3225
-15243	1346	3958
-14649	778	3859
-14676	672	3296
-15257	1325	3784
-15474	1255	4284
-15882	1532	4233
-15033	1818	3943
-15367	1097	3490
-14548	1675	3171
-16055	1815	3234
-14644	1310	2887
-15010	1122	2718
-15687	-1574	2650
-15822	-1583	2671
-15387	-2265	2663
-15895	-2338	1730
-15027	-3165	1975
-16235	-3498	1677
-14628	-4117	1337
-15421	-4604	1294
-14740	-4497	1227
-14863	-5349	1057
-14987	-5654	1020
-14963	-5985	738
-15038	-6325	1052
-14491	-6865	1049
-14192	-7342	1050
-14138	-7729	791
-13726	-7946	1128
-14020	-8397	901
-13562	-8679	940
-13396	-8870	973
-13144	-9189	849
-13118	-9448	919
-12747	-9615	732
-12966	-9605	843
-13226	-9181	846
-13184	-9476	159
-13454	-9060	468
-13510	-9236	403
-13408	-9229	505
-13359	-9257	742
-13123	-9309	763
-13304	-9325	716
-13253	-9418	907
-13196	-9368	803
-13337	-9315	698
-13332	-9210	711
-13197	-9145	580
-13323	-9136	710
-13303	-9108	609
-13451	-9063	732
-13516	-9046	738
-13547	-8928	740
-13553	-8885	707
-13568	-8934	821
-13534	-8864	836
-13521	-8942	774
-13564	-8695	641
-13516	-8923	705
-13538	-8914	692
-13632	-8902	698
-13522	-8883	633
-13478	-8855	786
-13574	-8937	790
-13497	-8836	767
-13570	-8891	613
-13561	-8917	741
-13492	-8873	738
-13609	-8863	793
-13596	-8847	602
-13538	-8892	698
-13629	-88	
