# SEGGER J-Link RTT Viewer V6.16a Terminal Log File
# Compiled: 12:44:10 on Jun  6 2017
# Logging started @ 03 Dec 2018 15:41:29
 0> <info> app: Right Press
 0> <info> app: Left Press
 0> <info> app: BATT Reading...
 0> <info> app: [OK]	Max30102 Already and background working is begin
 0> 
 0> <info> app: [OK]	HR sample count 707
 0> 
 0> Plus Signal 1, 10
 0> Minus Signal -1, 30
 0> plus_index 10, minus_index 30, Peak Index, 10,11,12,13,14,15,16,17,18,19,20,21,22,23,, AVR Peak Index, 16, HR 0, Reject out of 30-180.
 0> Plus Signal 1, 102
 0> Minus Signal -1, 143
 0> plus_index 102, minus_index 143, Peak Index, 113,114,115,, AVR Peak Index, 114, HR 41
 0> Plus Signal 1, 159
 0> Minus Signal -1, 210
 0> plus_index 159, minus_index 210, Peak Index, 195,196,40,
 0> hr,290,77036,95083,1.00,0,-24
 0> hr,291,77031,95104,1.00,0,-2
 0> hr,292,77027,95101,0.00,0,-5
 0> hr,293,77033,95097,0.00,-1,-9
 0> hr,294,77047,95088,0.00,0,-17
 0> hr,295,77042,95094,0.00,0,-10
 0> hr,296,77037,95085,0.00,0,-19
 0> hr,297,77034,95097,0.00,0,-6
 0> hr,298,77040,95082,0.00,0,-21
 0> hr,299,77031,95093,-1.00,-1,-9
 0> hr,300,77040,95080,-1.00,-1,-21
 0> hr,301,77034,95070,-2.00,-1,-30
 0> hr,302,77032,95089,-2.00,-1,-9
 0> hr,303,77030,95089,-3.00,-1,-9
 0> hr,304,77033,95087,-3.00,-1,-11
 0> hr,305,77030,95090,-4.00,-1,-7
 0> hr,306,77037,95083,-4.00,-1,-14
 0> hr,307,77044,95078,-4.00,-1,-18
 0> hr,308,77034,95070,-5.00,-1,-25
 0> hr,309,77026,95076,-5.00,-1,-18
 0> hr,310,77051,95075,-6.00,-1,-18
 0> hr,311,77054,95072,-6.00,-1,-20
 0> hr,312,77038,95083,-7.00,-1,-8
 0> hr,313,77037,95080,-7.00,-1,-10
 0> hr,314,77032,95071,-8.00,-1,-19
 0> hr,315,77044,95093,-8.00,-1,3
 0> hr,316,77033,95087,-8.00,-1,-2
